VolumeID,DSC (points) single output,DSC (bboxes) single output,DSC (mixed) single output,DSC (points) Ch:0,DSC (points) Ch:1,DSC (points) Ch:2,DSC (boxes) Ch:0,DSC (boxes) Ch:1,DSC (boxes) Ch:2,DSC (combined) Ch:0,DSC (combined) Ch:1,DSC (combined) Ch:2
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,0.012188618952373838,0.6976016685622515,0.6839223495849067,0.0062193127649395556,0.000616238021781507,0.005228137118529435,0.6943713836431502,0.6876332624266347,0.6627721722449431,0.6818401938586731,0.6832421682330969,0.6676399028381316
1.3.6.1.4.1.14519.5.2.1.6279.6001.970428941353693253759289796610,0.0030652578040602355,0.8287950987357394,0.8389843873460047,1.7568517214060343e-10,1.6225864024626664e-10,1.8928639027270746e-10,0.8433615117116922,0.828127609849987,0.8059193740762172,0.8346261247541691,0.8225575854134142,0.810698933321016
1.3.6.1.4.1.14519.5.2.1.6279.6001.147325126373007278009743173696,0.02431923291243034,0.7670454552072572,0.7812500005696614,0.008809080296661175,0.011676397162355896,0.018760907718420393,0.6797385631381093,0.6666666677248677,0.7044776128224549,0.7733333339377778,0.7473118286362586,0.744897959834444
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,0.19790798859595407,0.8298434641360192,0.8324388789671597,0.03906376125277421,0.036039070556409716,0.03020833350169994,0.8278268007564307,0.8118362717999963,0.8160049120122795,0.8354455643313596,0.8203109226912668,0.8178804620976514
1.3.6.1.4.1.14519.5.2.1.6279.6001.202187810895588720702176009630,0.00033363520565829046,0.583234947363359,0.659758204093473,0.0006085647640913397,8.592789218792531e-05,0.00028192841837378264,0.413986014805614,0.4948186535041209,0.486486487147379,0.6595121954541344,0.6386861317165272,0.6410714288919005
1.3.6.1.4.1.14519.5.2.1.6279.6001.799582546798528864710752164515,0.00028473806472369167,0.7821939590108204,0.828985507494224,2.1839306383152298e-11,2.3808390076096174e-11,6.589351607367596e-11,0.7619047623096857,0.7508196725396399,0.7653543310781822,0.8051948054759094,0.7503649638680804,0.7729885060732924
1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943,0.0004937052932082481,0.840559716215948,0.8528232027303483,0.0002250479351609038,9.490367276312957e-11,1.5547263679174864e-10,0.8405942581970895,0.8397869289244225,0.8284239295648929,0.8429047024716079,0.8345114345286371,0.8236505974635713
1.3.6.1.4.1.14519.5.2.1.6279.6001.162718361851587451505896742103,0.005385997302166968,0.8471502592653494,0.840466926276956,2.4154589313636257e-09,1.615508882689e-09,1.7793594274388622e-09,0.8808030114419034,0.8639201000450436,0.8668341710215651,0.8803945747467391,0.860000000175,0.8708487086459425
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,0.3209606994312656,0.8197530866422802,0.8348837211222282,0.03879310551984245,0.09926470753811634,0.13888889038387345,0.8092189503082984,0.8117048348451592,0.8230865748769303,0.8400488402441406,0.8208778175315803,0.8135198137371564
1.3.6.1.4.1.14519.5.2.1.6279.6001.244442540088515471945035689377,0.008974359291995398,0.8800482218926774,0.8574686431827431,4.828585222197689e-10,6.605019810696816e-10,6.510416662428113e-10,0.8632911393270309,0.8441396509699878,0.8448804415420721,0.8668621701660633,0.8534883721782044,0.8372881356851479
1.3.6.1.4.1.14519.5.2.1.6279.6001.272123398257168239653655006815,0.012408163345925864,0.8947449530054905,0.8910603862973463,0.007243227726025897,0.002869852345692373,0.006181015598796024,0.8954440154520893,0.8893705968963869,0.8770562095675485,0.8932082892230216,0.8879047037348882,0.8703090082553511
1.3.6.1.4.1.14519.5.2.1.6279.6001.558286136379689377915919180358,0.002909344873565149,0.7928722329573921,0.7977729885239069,0.001682085926313136,0.00024301348721227054,0.0023990405168067388,0.7847793567890071,0.7761698928983114,0.7610283654528955,0.7941203157795009,0.7852962692222663,0.7706777316947278
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,0.030193237300607946,0.8825622777193805,0.8774795800729527,0.037325040377410516,0.015384617278106505,0.023856860787560913,0.8858447489887618,0.8482039399209688,0.8603859252436028,0.8806306307650555,0.8518943744524748,0.8571428573035513
1.3.6.1.4.1.14519.5.2.1.6279.6001.792381786708289670758399079830,0.031116745530584678,0.8615278891465435,0.8749724851557371,1.6035920459263e-10,1.5708451144249377e-10,0.002487175656383153,0.8744617423126353,0.857018876127466,0.853539197580348,0.8717788861313613,0.8592439150844905,0.8511830635272745
1.3.6.1.4.1.14519.5.2.1.6279.6001.219428004988664846407984058588,0.10611103720502524,0.8697838109821043,0.8655611012935822,0.06911142467290389,0.05475177318372315,0.09136703159781707,0.8616492371229815,0.8519008264707602,0.8452128527409537,0.8555268261384087,0.847791547529744,0.8357086922731858
1.3.6.1.4.1.14519.5.2.1.6279.6001.328944769569002417592093467626,1.4836795250024214e-10,0.8264462824260638,0.7272727293388429,1.2613521693666305e-10,1.566906925483092e-10,2.6709401702267787e-10,0.8421052645429363,0.8103448292211652,0.7768595059763677,0.7368421072417887,0.7111111132510288,0.7153284692311791
1.3.6.1.4.1.14519.5.2.1.6279.6001.176030616406569931557298712518,0.06814165554052862,0.8637525873780894,0.8606847697921269,0.027483313829671074,0.038429054155571254,0.06246759991414365,0.8602230483444581,0.8389170478626633,0.8342153846357889,0.8590876522738132,0.8385174592017022,0.8347517730691782
1.3.6.1.4.1.14519.5.2.1.6279.6001.569096986145782511000054443951,0.31486146182007374,0.8491228072822407,0.8595890413363201,0.061728396992328405,0.1541582167258454,0.3430799233078364,0.8289241625592166,0.8212389383694886,0.8298611114064911,0.8469387757705122,0.829931973078347,0.8374384239122522
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,0.05405405410508421,0.8237169270565136,0.8132678133251634,0.06954225372589298,0.0152588558541529,0.03396109940291414,0.831186440735191,0.8093599450071025,0.80960432877592,0.829424992023956,0.8160424263122166,0.8146705615661569
1.3.6.1.4.1.14519.5.2.1.6279.6001.148229375703208214308676934766,0.14329976778789702,0.7739283618473703,0.7796610170736379,0.11411633971318402,5.045408675557311e-10,0.0011897685894171513,0.6462395545639,0.5846372691432167,0.6180316589001846,0.5840336137366711,0.5323141073437706,0.5463150780619911
1.3.6.1.4.1.14519.5.2.1.6279.6001.219254430927834326484477690403,0.024279211295796962,0.8323699426810117,0.8268156429418557,7.923930263134761e-10,7.396449698671264e-10,6.825938561893557e-10,0.7770700644042354,0.7484276737470827,0.7928994088967473,0.7790055254723605,0.7348066305668325,0.7272727279811098
1.3.6.1.4.1.14519.5.2.1.6279.6001.162845309248822193437735868939,0.3933467374532358,0.8943173052470257,0.8953547728699962,0.14310954101452758,0.39875389428911256,0.5117460319010331,0.9034886682191269,0.883116883146647,0.8934343434612539,0.9024451726991567,0.8809160305646524,0.8920611069641721
